,author_ID,Type,Company,Line of Code,n_files,task_type
0,11.0,volunteer,volunteer,16.0,5.0,perfective
1,11.0,volunteer,volunteer,31.0,4.0,corrective
2,19.0,volunteer,volunteer,2.0,1.0,perfective
3,21.0,volunteer,volunteer,2.0,1.0,features
4,21.0,volunteer,volunteer,46.0,1.0,corrective
5,33.0,volunteer,volunteer,65.0,12.0,corrective
6,33.0,volunteer,volunteer,79.0,10.0,corrective
7,42.0,volunteer,volunteer,28.0,4.0,perfective
8,43.0,volunteer,volunteer,1.0,1.0,features
9,43.0,volunteer,volunteer,14.0,1.0,corrective
10,60.0,volunteer,volunteer,3.0,2.0,perfective
11,65.0,volunteer,volunteer,1.0,1.0,features
12,68.0,volunteer,volunteer,2.0,1.0,perfective
13,94.0,volunteer,volunteer,6.0,3.0,features
14,97.0,volunteer,volunteer,46.0,2.0,corrective
15,100.0,volunteer,volunteer,40.0,1.0,corrective
16,101.0,volunteer,volunteer,70.0,20.0,features
17,105.0,volunteer,volunteer,16.0,2.0,nonfunctional
18,105.0,volunteer,volunteer,6.0,1.0,nonfunctional
19,106.0,volunteer,volunteer,20.0,1.0,features
20,124.0,paid,suse,23.0,1.0,corrective
21,136.0,volunteer,volunteer,8.0,1.0,features
22,136.0,volunteer,volunteer,61.0,3.0,corrective
23,140.0,volunteer,volunteer,15.0,1.0,perfective
24,140.0,volunteer,volunteer,36.0,4.0,perfective
25,142.0,volunteer,volunteer,15.0,1.0,perfective
26,143.0,volunteer,volunteer,6.0,2.0,corrective
27,145.0,volunteer,volunteer,2.0,1.0,perfective
28,164.0,volunteer,volunteer,7.0,3.0,corrective
29,179.0,volunteer,volunteer,2.0,1.0,corrective
30,185.0,volunteer,volunteer,2.0,1.0,perfective
31,190.0,volunteer,volunteer,46.0,3.0,features
32,190.0,volunteer,volunteer,6.0,1.0,features
33,195.0,volunteer,volunteer,7.0,1.0,perfective
34,196.0,volunteer,volunteer,9.0,1.0,corrective
35,203.0,volunteer,volunteer,2.0,1.0,corrective
36,203.0,volunteer,volunteer,6.0,1.0,nonfunctional
37,205.0,volunteer,volunteer,50.0,3.0,perfective
38,211.0,volunteer,volunteer,3.0,1.0,perfective
39,211.0,volunteer,volunteer,96.0,6.0,perfective
40,220.0,volunteer,volunteer,2.0,1.0,corrective
41,220.0,volunteer,volunteer,4.0,1.0,perfective
42,224.0,volunteer,volunteer,3.0,1.0,features
43,224.0,volunteer,volunteer,2.0,1.0,corrective
44,225.0,volunteer,volunteer,2.0,1.0,perfective
45,228.0,volunteer,volunteer,22.0,1.0,perfective
46,228.0,volunteer,volunteer,29.0,4.0,features
47,229.0,volunteer,volunteer,2.0,1.0,features
48,230.0,volunteer,volunteer,18.0,3.0,features
49,234.0,paid,google,11.0,1.0,features
50,238.0,volunteer,volunteer,6.0,2.0,corrective
51,238.0,volunteer,volunteer,51.0,2.0,corrective
52,242.0,volunteer,volunteer,2.0,1.0,perfective
53,243.0,paid,huawei,6.0,1.0,corrective
54,249.0,volunteer,volunteer,2.0,1.0,corrective
55,249.0,volunteer,volunteer,4.0,1.0,perfective
56,252.0,volunteer,volunteer,17.0,6.0,features
57,260.0,volunteer,volunteer,63.0,2.0,perfective
58,260.0,volunteer,volunteer,48.0,3.0,perfective
59,264.0,volunteer,volunteer,6.0,1.0,perfective
60,266.0,volunteer,volunteer,99.0,7.0,corrective
61,266.0,volunteer,volunteer,39.0,3.0,corrective
62,270.0,paid,google,86.0,12.0,features
63,272.0,volunteer,volunteer,6.0,2.0,perfective
64,272.0,volunteer,volunteer,27.0,4.0,features
65,273.0,volunteer,volunteer,42.0,9.0,features
66,280.0,volunteer,volunteer,6.0,1.0,perfective
67,298.0,volunteer,volunteer,7.0,1.0,corrective
68,298.0,volunteer,volunteer,2.0,1.0,perfective
69,301.0,paid,google,112.0,11.0,features
70,302.0,paid,amazon,21.0,2.0,features
71,302.0,paid,amazon,2.0,1.0,corrective
72,305.0,volunteer,volunteer,1.0,1.0,features
73,306.0,volunteer,volunteer,8.0,1.0,features
74,310.0,volunteer,volunteer,143.0,12.0,perfective
75,310.0,volunteer,volunteer,19.0,3.0,corrective
76,317.0,volunteer,volunteer,6.0,1.0,perfective
77,317.0,volunteer,volunteer,45.0,2.0,perfective
78,320.0,volunteer,volunteer,35.0,3.0,features
79,322.0,volunteer,volunteer,2.0,1.0,perfective
80,329.0,paid,amazon,5.0,1.0,corrective
81,333.0,volunteer,volunteer,2.0,1.0,corrective
82,334.0,volunteer,volunteer,3.0,1.0,features
83,334.0,volunteer,volunteer,8.0,1.0,corrective
84,335.0,volunteer,volunteer,32.0,3.0,perfective
85,336.0,volunteer,volunteer,4.0,1.0,perfective
