,Role,task,ratio
0,Volunteer,Perfective,0.9333333333333333
1,Volunteer,Feature,0.044444444444444446
2,Volunteer,Corrective,0.022222222222222223
3,Volunteer,Nonfunctional,0.0
4,Volunteer,Perfective,0.5
5,Volunteer,Feature,0.2777777777777778
6,Volunteer,Corrective,0.2222222222222222
7,Volunteer,Nonfunctional,0.0
8,Volunteer,Perfective,0.6785714285714286
9,Volunteer,Feature,0.14285714285714285
10,Volunteer,Corrective,0.14285714285714285
11,Volunteer,Nonfunctional,0.03571428571428571
12,Volunteer,Perfective,0.625
13,Volunteer,Feature,0.1875
14,Volunteer,Corrective,0.14583333333333334
15,Volunteer,Nonfunctional,0.041666666666666664
16,Volunteer,Perfective,0.16666666666666666
17,Volunteer,Feature,0.5
18,Volunteer,Corrective,0.3333333333333333
19,Volunteer,Nonfunctional,0.0
20,Volunteer,Perfective,0.6785714285714286
21,Volunteer,Feature,0.25
22,Volunteer,Corrective,0.07142857142857142
23,Volunteer,Nonfunctional,0.0
24,Volunteer,Perfective,0.375
25,Volunteer,Feature,0.25
26,Volunteer,Corrective,0.375
27,Volunteer,Nonfunctional,0.0
28,Volunteer,Perfective,0.3888888888888889
29,Volunteer,Feature,0.4166666666666667
30,Volunteer,Corrective,0.16666666666666666
31,Volunteer,Nonfunctional,0.027777777777777776
32,Volunteer,Perfective,0.8333333333333334
33,Volunteer,Feature,0.1111111111111111
34,Volunteer,Corrective,0.05555555555555555
35,Volunteer,Nonfunctional,0.0
36,Volunteer,Perfective,0.3548387096774194
37,Volunteer,Feature,0.22580645161290322
38,Volunteer,Corrective,0.3870967741935484
39,Volunteer,Nonfunctional,0.03225806451612903
40,Volunteer,Perfective,0.16666666666666666
41,Volunteer,Feature,0.3333333333333333
42,Volunteer,Corrective,0.3333333333333333
43,Volunteer,Nonfunctional,0.16666666666666666
44,Volunteer,Perfective,0.5454545454545454
45,Volunteer,Feature,0.3181818181818182
46,Volunteer,Corrective,0.09090909090909091
47,Volunteer,Nonfunctional,0.045454545454545456
48,Volunteer,Perfective,0.2
49,Volunteer,Feature,0.06666666666666667
50,Volunteer,Corrective,0.6666666666666666
51,Volunteer,Nonfunctional,0.06666666666666667
52,Volunteer,Perfective,0.41025641025641024
53,Volunteer,Feature,0.28205128205128205
54,Volunteer,Corrective,0.23076923076923078
55,Volunteer,Nonfunctional,0.07692307692307693
56,Volunteer,Perfective,0.7058823529411765
57,Volunteer,Feature,0.058823529411764705
58,Volunteer,Corrective,0.17647058823529413
59,Volunteer,Nonfunctional,0.058823529411764705
60,Paid developer,Perfective,0.3333333333333333
61,Paid developer,Feature,0.3333333333333333
62,Paid developer,Corrective,0.3333333333333333
63,Paid developer,Nonfunctional,0.0
64,Volunteer,Perfective,0.5714285714285714
65,Volunteer,Feature,0.0
66,Volunteer,Corrective,0.2857142857142857
67,Volunteer,Nonfunctional,0.14285714285714285
68,Volunteer,Perfective,0.2727272727272727
69,Volunteer,Feature,0.18181818181818182
70,Volunteer,Corrective,0.5454545454545454
71,Volunteer,Nonfunctional,0.0
72,Volunteer,Perfective,0.6097560975609756
73,Volunteer,Feature,0.34146341463414637
74,Volunteer,Corrective,0.04878048780487805
75,Volunteer,Nonfunctional,0.0
76,Volunteer,Perfective,0.4117647058823529
77,Volunteer,Feature,0.29411764705882354
78,Volunteer,Corrective,0.29411764705882354
79,Volunteer,Nonfunctional,0.0
80,Volunteer,Perfective,0.5454545454545454
81,Volunteer,Feature,0.09090909090909091
82,Volunteer,Corrective,0.18181818181818182
83,Volunteer,Nonfunctional,0.18181818181818182
84,Volunteer,Perfective,0.7222222222222222
85,Volunteer,Feature,0.16666666666666666
86,Volunteer,Corrective,0.1111111111111111
