Role,Type,Line of Code
One-time,volunteer,2.0
One-time,volunteer,28.0
One-time,volunteer,3.0
One-time,volunteer,1.0
One-time,volunteer,2.0
One-time,volunteer,6.0
One-time,volunteer,46.0
One-time,volunteer,40.0
One-time,volunteer,70.0
One-time,volunteer,20.0
One-time,paid,23.0
One-time,volunteer,15.0
One-time,volunteer,6.0
One-time,volunteer,2.0
One-time,volunteer,7.0
One-time,volunteer,2.0
One-time,volunteer,2.0
One-time,volunteer,7.0
One-time,volunteer,9.0
One-time,volunteer,50.0
One-time,volunteer,2.0
One-time,volunteer,2.0
One-time,volunteer,18.0
One-time,paid,11.0
One-time,volunteer,2.0
One-time,paid,6.0
One-time,volunteer,17.0
One-time,volunteer,6.0
One-time,paid,86.0
One-time,volunteer,42.0
One-time,volunteer,6.0
One-time,paid,112.0
One-time,volunteer,1.0
One-time,volunteer,8.0
One-time,volunteer,35.0
One-time,volunteer,2.0
One-time,paid,5.0
One-time,volunteer,2.0
One-time,volunteer,32.0
One-time,volunteer,4.0
One-time,volunteer,75.0
One-time,volunteer,30.0
One-time,volunteer,2.0
One-time,volunteer,27.0
One-time,volunteer,16.0
One-time,volunteer,2.0
One-time,volunteer,79.0
One-time,volunteer,2.0
One-time,volunteer,2.0
One-time,volunteer,51.0
One-time,volunteer,46.0
One-time,volunteer,2.0
One-time,volunteer,1.0
One-time,volunteer,2.0
One-time,volunteer,30.0
One-time,volunteer,48.0
One-time,volunteer,61.0
One-time,volunteer,12.0
One-time,volunteer,12.0
One-time,volunteer,1.0
One-time,volunteer,6.0
One-time,volunteer,4.0
One-time,volunteer,125.0
One-time,volunteer,21.0
One-time,volunteer,2.0
One-time,volunteer,4.0
One-time,volunteer,23.0
One-time,volunteer,101.0
One-time,paid,30.0
One-time,volunteer,1.0
One-time,volunteer,2.0
One-time,volunteer,1.0
One-time,volunteer,2.0
One-time,volunteer,12.0
One-time,volunteer,2.0
One-time,volunteer,98.0
One-time,volunteer,2.0
One-time,volunteer,5.0
One-time,volunteer,2.0
One-time,volunteer,8.0
One-time,volunteer,1.0
One-time,volunteer,69.0
One-time,volunteer,2.0
One-time,volunteer,68.0
One-time,volunteer,2.0
One-time,volunteer,35.0
One-time,volunteer,31.0
One-time,volunteer,11.0
One-time,volunteer,2.0
One-time,volunteer,40.0
One-time,volunteer,2.0
One-time,volunteer,2.0
One-time,volunteer,2.0
One-time,volunteer,33.0
One-time,paid,10.0
One-time,volunteer,24.0
One-time,volunteer,20.0
One-time,volunteer,1.0
One-time,volunteer,6.0
One-time,volunteer,2.0
One-time,volunteer,54.0
One-time,volunteer,42.0
One-time,volunteer,24.0
One-time,volunteer,45.0
One-time,volunteer,10.0
One-time,volunteer,2.0
One-time,volunteer,20.0
One-time,volunteer,10.0
One-time,volunteer,6.0
One-time,volunteer,8.0
One-time,volunteer,76.0
One-time,volunteer,143.0
One-time,volunteer,15.0
One-time,volunteer,27.0
One-time,volunteer,20.0
One-time,volunteer,72.0
One-time,volunteer,6.0
One-time,paid,46.0
One-time,volunteer,2.0
One-time,volunteer,119.0
One-time,volunteer,2.0
One-time,volunteer,59.0
One-time,volunteer,2.0
One-time,volunteer,27.0
One-time,volunteer,14.0
One-time,volunteer,140.0
One-time,paid,2.0
One-time,volunteer,3.0
One-time,volunteer,27.0
One-time,volunteer,2.0
One-time,volunteer,18.0
One-time,volunteer,18.0
One-time,volunteer,2.0
One-time,volunteer,26.0
One-time,paid,2.0
One-time,volunteer,2.0
One-time,volunteer,14.0
One-time,volunteer,16.0
One-time,volunteer,59.0
One-time,volunteer,2.0
One-time,volunteer,8.0
One-time,volunteer,2.0
One-time,volunteer,2.0
One-time,volunteer,2.0
One-time,volunteer,84.0
One-time,volunteer,6.0
One-time,volunteer,45.0
One-time,volunteer,39.0
One-time,volunteer,79.0
One-time,volunteer,47.0
One-time,volunteer,2.0
One-time,volunteer,44.0
One-time,volunteer,58.0
One-time,volunteer,4.0
One-time,volunteer,18.0
One-time,volunteer,2.0
One-time,volunteer,13.0
One-time,volunteer,19.0
One-time,volunteer,41.0
One-time,volunteer,2.0
One-time,volunteer,2.0
One-time,volunteer,1.0
One-time,volunteer,16.0
One-time,volunteer,91.0
One-time,volunteer,1.0
One-time,volunteer,2.0
One-time,volunteer,8.0
One-time,volunteer,65.0
One-time,volunteer,14.0
One-time,volunteer,12.0
One-time,volunteer,9.0
One-time,volunteer,2.0
One-time,volunteer,2.0
One-time,volunteer,2.0
One-time,volunteer,2.0
One-time,volunteer,119.0
One-time,volunteer,107.0
One-time,paid,43.0
One-time,volunteer,8.0
One-time,volunteer,2.0
One-time,volunteer,17.0
One-time,volunteer,7.0
One-time,volunteer,25.0
One-time,volunteer,101.0
One-time,volunteer,4.0
One-time,volunteer,6.0
One-time,volunteer,9.0
One-time,volunteer,9.0
One-time,volunteer,27.0
One-time,volunteer,1.0
One-time,volunteer,21.0
One-time,volunteer,12.0
One-time,volunteer,56.0
One-time,volunteer,6.0
One-time,volunteer,2.0
One-time,volunteer,55.0
One-time,volunteer,14.0
One-time,volunteer,3.0
One-time,volunteer,49.0
One-time,volunteer,58.0
One-time,volunteer,2.0
One-time,paid,31.0
One-time,volunteer,27.0
One-time,volunteer,42.0
One-time,volunteer,63.0
One-time,volunteer,17.0
One-time,paid,10.0
One-time,volunteer,2.0
One-time,volunteer,19.0
One-time,volunteer,2.0
One-time,volunteer,2.0
One-time,volunteer,88.0
One-time,volunteer,36.0
One-time,volunteer,8.0
One-time,volunteer,2.0
One-time,volunteer,15.0
One-time,volunteer,2.0
One-time,volunteer,16.0
One-time,volunteer,26.0
One-time,paid,4.0
One-time,volunteer,7.0
One-time,volunteer,5.0
One-time,volunteer,2.0
One-time,volunteer,1.0
One-time,volunteer,6.0
One-time,volunteer,1.0
One-time,paid,14.0
One-time,volunteer,213.0
One-time,volunteer,27.0
One-time,volunteer,2.0
One-time,volunteer,2.0
One-time,volunteer,3.0
One-time,volunteer,2.0
One-time,volunteer,2.0
One-time,volunteer,8.0
One-time,volunteer,2.0
One-time,volunteer,5.0
One-time,volunteer,2.0
One-time,volunteer,1.0
One-time,volunteer,2.0
One-time,volunteer,2.0
One-time,volunteer,2.0
One-time,volunteer,2.0
One-time,volunteer,8.0
One-time,volunteer,11.0
One-time,volunteer,4.0
One-time,volunteer,20.0
One-time,volunteer,4.0
One-time,paid,1.0
One-time,volunteer,22.0
One-time,volunteer,2.0
One-time,volunteer,2.0
One-time,volunteer,5.0
One-time,volunteer,2.0
One-time,volunteer,22.0
One-time,volunteer,12.0
One-time,volunteer,2.0
One-time,volunteer,3.0
One-time,volunteer,6.0
One-time,volunteer,2.0
One-time,volunteer,50.0
One-time,volunteer,2.0
One-time,paid,15.0
One-time,volunteer,8.0
One-time,volunteer,2.0
One-time,volunteer,2.0
One-time,volunteer,6.0
One-time,volunteer,6.0
One-time,volunteer,32.0
One-time,volunteer,2.0
One-time,volunteer,16.0
One-time,volunteer,91.0
One-time,volunteer,4.0
One-time,volunteer,37.0
One-time,volunteer,4.0
One-time,volunteer,2.0
One-time,volunteer,5.0
One-time,volunteer,18.0
One-time,volunteer,12.0
One-time,volunteer,2.0
One-time,volunteer,9.0
One-time,volunteer,4.0
One-time,volunteer,2.0
One-time,volunteer,642.0
One-time,volunteer,9.0
One-time,volunteer,2.0
One-time,volunteer,53.0
One-time,volunteer,6.0
One-time,volunteer,4.0
One-time,volunteer,4.0
One-time,volunteer,37.0
One-time,volunteer,2.0
One-time,volunteer,2.0
One-time,volunteer,8.0
One-time,volunteer,33.0
One-time,volunteer,68.0
One-time,volunteer,64.0
One-time,volunteer,31.0
One-time,volunteer,2.0
One-time,volunteer,1.0
One-time,volunteer,1.0
One-time,volunteer,12.0
One-time,volunteer,1.0
One-time,volunteer,3.0
One-time,volunteer,4.0
One-time,volunteer,9.0
One-time,volunteer,2.0
One-time,volunteer,31.0
One-time,volunteer,10.0
One-time,volunteer,3.0
One-time,volunteer,10.0
One-time,paid,3.0
One-time,volunteer,2.0
One-time,volunteer,120.0
One-time,volunteer,8.0
One-time,volunteer,6.0
One-time,volunteer,2.0
One-time,volunteer,2.0
One-time,volunteer,73.0
One-time,volunteer,36.0
One-time,volunteer,82.0
One-time,volunteer,2.0
One-time,volunteer,2.0
One-time,volunteer,2.0
One-time,volunteer,2.0
One-time,volunteer,23.0
One-time,volunteer,4.0
One-time,volunteer,84.0
One-time,volunteer,18.0
One-time,volunteer,4.0
One-time,volunteer,33.0
One-time,volunteer,4.0
One-time,volunteer,74.0
One-time,volunteer,2.0
One-time,volunteer,2.0
One-time,volunteer,68.0
One-time,volunteer,13.0
One-time,volunteer,13.0
One-time,volunteer,10.0
One-time,volunteer,42.0
One-time,volunteer,2.0
One-time,volunteer,2.0
One-time,volunteer,12.0
One-time,volunteer,2.0
One-time,volunteer,15.0
One-time,volunteer,73.0
One-time,volunteer,27.0
One-time,volunteer,17.0
One-time,volunteer,2.0
One-time,volunteer,4.0
One-time,volunteer,9.0
One-time,volunteer,48.0
One-time,volunteer,57.0
One-time,volunteer,101.0
One-time,volunteer,135.0
One-time,volunteer,2.0
One-time,volunteer,4.0
One-time,volunteer,23.0
One-time,volunteer,54.0
One-time,volunteer,2.0
One-time,volunteer,8.0
One-time,volunteer,101.0
One-time,volunteer,10.0
One-time,volunteer,44.0
One-time,paid,28.0
One-time,volunteer,54.0
One-time,volunteer,296.0
One-time,volunteer,32.0
One-time,volunteer,11.0
One-time,volunteer,2.0
One-time,volunteer,22.0
One-time,volunteer,2.0
One-time,volunteer,31.0
One-time,volunteer,15.0
One-time,volunteer,4.0
One-time,volunteer,36.0
One-time,volunteer,2.0
One-time,volunteer,4.0
One-time,volunteer,102.0
One-time,volunteer,32.0
One-time,volunteer,8.0
One-time,volunteer,2.0
One-time,volunteer,6.0
One-time,volunteer,2.0
One-time,volunteer,8.0
One-time,volunteer,12.0
One-time,volunteer,2.0
One-time,volunteer,32.0
One-time,volunteer,1.0
One-time,volunteer,3.0
One-time,volunteer,155.0
One-time,volunteer,55.0
One-time,volunteer,15.0
One-time,volunteer,9.0
One-time,volunteer,30.0
One-time,volunteer,3.0
One-time,paid,10.0
One-time,volunteer,449.0
One-time,volunteer,2.0
